#1_tweetid	#2_tweet	#3_country_label	#4_province_label
TRAIN_0	حاجة حلوة اكيد	Egypt	eg_Faiyum
TRAIN_1	عم بشتغلوا للشعب الاميركي اما نحن يكذبوا ويغشوا ويسرقوا ويقتلو شعوبهم ويعملوا لصالح اعدائهم	Iraq	iq_Dihok
TRAIN_2	ابشر طال عمرك	Saudi_Arabia	sa_Ha'il
TRAIN_3	منطق 2017: أنا والغريب علي إبن عمي وأنا والغريب وإبن عمي علي أخويا. #قطع_العلاقات_مع_قطر #موريتانيا_مع_قطر	Mauritania	mr_Nouakchott
TRAIN_4	شهرين وتروح والباقي غير صيف ملينا	Algeria	dz_El-Oued
TRAIN_5	يابنتى والله ما حد متغاظ ولا مفروس منك ولا بيحسدك انتى عره اساسا.	Syria	sy_Damascus-City
TRAIN_6	نفس الوقت بأكد على صاحبتي ان اي هدف هتحطه وتخططله هيبوظ والأفضل التشاؤم واننا نتوقع الأسوء دايما والفشل عشان منعشمش نفسنا ع الفاضي	Egypt	eg_Minya
TRAIN_7	م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك URL  …	Egypt	eg_Beni-Suef
TRAIN_8	ما يله دخل !	Oman	om_Ad-Dakhiliyah
TRAIN_9	هو حلو بس يتخربط ع طلاب المدراس ليك مايغيرونه عدنا	Iraq	iq_Al-Anbar
TRAIN_10	أي عرفتو، ماعندوش مصداقية بصراحة	Tunisia	tn_Bizerte
TRAIN_11	بتتذكري مسلسل نورا هيك بتذكر كان اسمها في	Lebanon	lb_North-Lebanon
TRAIN_12	أحمد ربي ديجا كي يجي واحد منهم في الوقت	Tunisia	tn_Ariana
TRAIN_13	يسطا لازم قريب خد بالك	Tunisia	tn_Mahdia
TRAIN_14	نزعل و الله لو تريكه مرضش	Tunisia	tn_Mahdia
TRAIN_15	فخري وتاج راسي هالنونا والله URL 	Morocco	ma_Marrakech-Tensift-Al-Haouz
TRAIN_16	مال صور ' تاريخ ١٨-١٩ /٧ . URL 	Oman	om_Ash-Sharqiyah
TRAIN_17	فورنو كهرباء نوع كوبر نضيف بسعر مغري وممتاز El Oued إعلانات مبوبة في الجزائر | Ssoug  URL …	Algeria	dz_Ouargla
TRAIN_18	لا حبيتي اني مااسمع صوات حمير هنق هنق	Djibouti	dj_Djibouti
TRAIN_19	بدو يحشر حالو بين كنادر البنات ، فعلا نظرو واطي هالشخص URL  …	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_20	"""مقتنعه ب جمله \"" لكل فعل رد فعل \"" ف استحملوا يعنى"""	Egypt	eg_Dakahlia
TRAIN_21	اكثر يوم حسيت فيه اني خريجه صج	Kuwait	kw_Jahra
TRAIN_22	بوصوفة مشى والصراحة غيخلي بلاصتو ولكن المستقبل هو زياش متنساش راه اول كاس افريقيا غيلعبها	Morocco	ma_Souss-Massa-Draa
TRAIN_23	 USER  والله بجد اللقب هيتشرف بعباس	Syria	sy_Hama
TRAIN_24	أموت في حبجج؛ خيتي.	Oman	om_Ash-Sharqiyah
TRAIN_25	وش للتبديل الغبي ذا؟؟؟؟؟؟	Saudi_Arabia	sa_Tabuk
TRAIN_26	المصور ما عقلهاش	Tunisia	tn_Sfax
TRAIN_27	مادار في بالي الخالي اتعلق بغالي واضيع انا في الدرب وشصار لهالگلب حب وعشگ وانحب واني ادري انه صعب وشصار شنو...  URL 	Iraq	iq_An-Najaf
TRAIN_28	لما اقول لبنت طيزك حمرا دي مش شتيمة دا مدح عظيم لو تعلمون	Egypt	eg_Beni-Suef
TRAIN_29	ماحس الي يالسه ترمسني ميثوه (:	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_30	لااااااا متقوليييييش عليها كده متصدمنيش لااااااا	Egypt	eg_Dakahlia
TRAIN_31	بعد مشاهدة الحوار لي دارو البارح الغديري في حصة الجزائرية وان .. لن وولن انتخب بنادم... جملة ميعرفش يكونها... 1	Algeria	dz_Bouira
TRAIN_32	من الأماكن الي فعلا بحبها وترتاح جدا فيها	Egypt	eg_Qena
TRAIN_33	اي والله تحول خرافي	Algeria	dz_Biskra
TRAIN_34	ههههههه او ههههههههه او ههههههه والكارثه الزواج تايد وتصدك وطبل لابو كل ذيل وكل مغرض ولكم جذبو بانصاف لابو الحرس الثوري	Iraq	iq_Karbala
TRAIN_35	حبك لو ينتهي ارجع احبك من جديد !	United_Arab_Emirates	ae_Dubai
TRAIN_36	وحياتك ولا انا	Iraq	iq_Wasit
TRAIN_37	مش احسن ما اعيط من المذاكره اللي عليا	Egypt	eg_Port-Said
TRAIN_38	#البريمرليج_على_الجزيره ياريت الخليفي ما يطلع حرقة دفع تعاقدات ال PSG من مشركين الجزيرة الرياضية :):):):)	Iraq	iq_An-Najaf
TRAIN_39	فيه فلم مدري مسلسل نزل ل زياد العمري لي اسبوعين ادور عليه اتوقع اسمه ( جُرذ ) كيف اشوفه او بس يعرض على صالات السينما؟	Saudi_Arabia	sa_Al-Quassim
TRAIN_40	#الهلال_الشباب هاردلك لليوث الفريق لازال في مرحلة البناء لعيبه صغار سن فيه اخطاء صانع لعب ممتاز مطلب في الشتوية بديل للاسطا مهاجم محلي جيد	Syria	sy_As-Suwayda
TRAIN_41	عهدي بها فاكهه شيطان امتى قعدت تفاحة صراحه URL  …	Libya	ly_Benghazi
TRAIN_42	سال المجرب وما تسالش الطبيب	Algeria	dz_Batna
TRAIN_43	هي زي تحبكي	Iraq	iq_Ninawa
TRAIN_44	كيف جايهم النوم بس حاسدتهم	Libya	ly_Benghazi
TRAIN_45	شي غريب الشوارع فاضيه !!!!! #كويت #q8 #Kuwait	Kuwait	kw_Hawalli
TRAIN_46	"""منذ الأزل بيخسروا وبيخيبوا أملنا بس هل مرة نشعر بالسعادة \""العارمة\"""""	Syria	sy_Aleppo
TRAIN_47	يعني الجبال الباقيه على الارض مديلها جديد ولا خلقت الا بعد ذا الاحفوره !!!	Saudi_Arabia	sa_Najran
TRAIN_48	#الحقيقه_توجع ناس كنت احسب انهم كفو وخيبوا ظنّي..!!  URL 	Syria	sy_As-Suwayda
TRAIN_49	 USER  يا ريت والله	Oman	om_Ad-Dhahirah
TRAIN_50	قويه قدام الغياب مايهزمني بُعد مخلوق مثل م حبيتك اقدر اكرهك .	Saudi_Arabia	sa_Ash-Sharqiyah
TRAIN_51	يغير فكرته برأيي أحسنله	Syria	sy_Aleppo
TRAIN_52	الله يبقيك يا الغالي	Bahrain	bh_Capital
TRAIN_53	اكثر من هاك	Algeria	dz_Batna
TRAIN_54	لاماله علاقه السجل تواصلي مع شركة اللي كنتي فيها هي سبب الرفض	Saudi_Arabia	sa_Ar-Riyad
TRAIN_55	يبارك فيك حبيب قلبي	Bahrain	bh_Capital
TRAIN_56	فالفيردي مصلي العشاء قبل الماتش	Egypt	eg_Alexandria
TRAIN_57	الله لا يحرمني منها يارب	Saudi_Arabia	sa_Ar-Riyad
TRAIN_58	تخمام تاع طفل في الابتدائي ما ظنيتش يصوم	Algeria	dz_Bouira
TRAIN_59	حتى بنومي كاعد ...... خايف أنسااك !!!  URL 	Iraq	iq_Karbala
TRAIN_60	يعني ما تنعرف يوم تكون مريضه	Iraq	iq_Basra
TRAIN_61	#فركوس_مدرس_المسجد_الاعظم و الشاب جلول مؤدن تاعو	Tunisia	tn_Mahdia
TRAIN_62	يبلعك سمك القرش ومايبزقك	Syria	sy_Lattakia
TRAIN_63	لو تباعدك الظروف انا غيرك ما أشوف .	United_Arab_Emirates	ae_Abu-Dhabi
TRAIN_64	لحيتي متوسطة لكن عندي باها جو هلبا	Libya	ly_Tripoli
TRAIN_65	أسوأ حاجه هي أنك تهون ، لو هونت هتتغير ، ولو أتغيرت هتأخد قرارات كتير أولها القسوه ، ولو قسيت لا هتحن ولا تصفي ..	Syria	sy_Damascus-City
TRAIN_66	ولا اوصلها اكثر من كذا	Iraq	iq_Wasit
TRAIN_67	ههههههههههه جسم غريب. ميمتي مت بالضحك. URL  …	Morocco	ma_Souss-Massa-Draa
TRAIN_68	 USER  العيون تحكم ياما نخدعنابالنظاره	Saudi_Arabia	sa_Ar-Riyad
TRAIN_69	يلا ايش يوزرك	Iraq	iq_Al-Anbar
TRAIN_70	اليوم الدكتوره الى ما دانيها ومدرستني من سنتين جات وسلمت على وتقولي I miss you URL 	Qatar	qa_Ar-Rayyan
TRAIN_71	اذا ندمت اني كلمت شخص احذف المحادثه وبكذا احس اني ماسويت شي.	Saudi_Arabia	sa_Al-Madinah
TRAIN_72	بس هو شبهي نوعا ما	Egypt	eg_South-Sinai
TRAIN_73	كعبة المساطة تدمغ وحدة وحدة الفيديو كــــامل هير:   URL  	Tunisia	tn_Sfax
TRAIN_74	وياعيني عليها وعلي ضحكتها	Egypt	eg_Suez
TRAIN_75	مالها جواهر هو حد يعرفك غيري يابنتي	Egypt	eg_Ismailia
TRAIN_76	ايه والله وقطعتين ثلج  URL  …	Oman	om_Ad-Dakhiliyah
TRAIN_77	ماهر غناها احلى	Yemen	ye_Ibb
TRAIN_78	 USER  مبروك وعقبال الدوري يارب	Saudi_Arabia	sa_Jizan
TRAIN_79	اه اذا كان كده معلش خلاص تقبلته	Egypt	eg_Sohag
TRAIN_80	كذب عليكم لما وصلةدعم اااخ سودتو وجيهنا	Yemen	ye_Aden
TRAIN_81	هو اى الى عادى ي سى كريم اسكت خالص ده انا بموت خصوصا كنت بمتحن النهارده	Morocco	ma_Tanger-Tetouan
TRAIN_82	وبيييييتكم غبتووو ياكم الاعصااااررر	Lebanon	lb_South-Lebanon
TRAIN_83	بسم الله شكون بغا يذوق معيا ؟  URL 	Morocco	ma_Meknes-Tafilalet
TRAIN_84	سالتا عنك يا المحبوب وينك	Morocco	ma_Meknes-Tafilalet
TRAIN_85	تقصدي المحترف يمشي على آلية معينة بينما الهاوي يعتمد على الصدفة والارتجال. معقولة	Palestine	ps_West-Bank
TRAIN_86	بعد ما أخيرا زبط نومي بعد الnight rotation ونمت عال٩ اليوم بصحى عال٣ الصبح	Jordan	jo_Zarqa
TRAIN_87	ولا أنت غيم فالسماء ولأني ميت ظما.	United_Arab_Emirates	ae_Dubai
TRAIN_88	 USER  وجععع شررر شرررررررر	Saudi_Arabia	sa_Ar-Riyad
TRAIN_89	وبلهجة الكمزاري أسم (لجدانه) وبعض يسموه افتيله له اسمين	Oman	om_Musandam
TRAIN_90	خساره ما لحقت قبل العشر دقايق	Saudi_Arabia	sa_Ar-Riyad
TRAIN_91	ماقول غير ياحظ الي بيشوفك بالعيد بالوردي حياتهم بتصير زي لون الفستان العيد حقه بيصير لونه وردي	Saudi_Arabia	sa_Tabuk
TRAIN_92	البركه في الجيش غير هكي لا لامراهقين طبرق لاذيول الرئاسي والدوله	Libya	ly_Al-Jabal-al-Akhdar
TRAIN_93	عرفت مابقاو عندي مشاعر ملي ولا يطيحلي التيليفون ف الأرض و نجرو من الكيت	Morocco	ma_Souss-Massa-Draa
TRAIN_94	تفله تكفي البول وايد عليها	United_Arab_Emirates	ae_Ras-Al-Khaymah
TRAIN_95	صوت عربيا لشيرين وصوت لتاج راس الكل اليسا هون	Syria	sy_Lattakia
TRAIN_96	مفيش حاجه لهند	Egypt	eg_Ismailia
TRAIN_97	صباح الخير مين ؟ او كيف حتى ؟	Palestine	ps_West-Bank
TRAIN_98	الصيدلية ناقصها وصلة bein وندخلها شيشة وتاخد تقييم عشرة ف قلبي	Egypt	eg_Minya
TRAIN_99	الشي المشترك هوي المئت اي منيح بتخلص هالعلاقة مشان ما يصير عندك طاقة سلبية من وراهون	Syria	sy_Hims
TRAIN_100	 USER  شيخ لوسمحت ابي استفسر عن موضوع خاص وضروري لوسمحت	Kuwait	kw_Hawalli
TRAIN_101	نفسي اقعد قدااام البحر ونفسي انط من طياره  URL  …	Egypt	eg_Minya
TRAIN_102	أنت شكلك متعرفش حاجه النجمه الصاعده دي	Egypt	eg_Aswan
TRAIN_103	اي والله هيك صار بأختي من يومين نفس الموقف فتحت لعلبة لاقت خيطان وبعدني عم اضحك عليها	Lebanon	lb_North-Lebanon
TRAIN_104	للرجعية و الإرهاب ما في جنسية! URL  …	Qatar	qa_Ar-Rayyan
TRAIN_105	 USER  لما اقول لكم علموني السواقه  URL  …	Saudi_Arabia	sa_Ash-Sharqiyah
TRAIN_106	ارجع يا ايڤونا URL  …	Egypt	eg_Beni-Suef
TRAIN_107	الاختبارات جت والضغوط جت ولا يحتاج اقول النفسيه وش بتصير	Saudi_Arabia	sa_Ash-Sharqiyah
TRAIN_108	مساء النور يالسهلاوي	Saudi_Arabia	sa_Al-Madinah
