#1_tweetid,#2_tweet,#3_country_label,#2_tweet_clean
TRAIN_0,حاجة حلوة اكيد,Egypt,حاجه حلوه اكيد
TRAIN_1,عم بشتغلوا للشعب الاميركي اما نحن يكذبوا ويغشوا ويسرقوا ويقتلو شعوبهم ويعملوا لصالح اعدائهم,Iraq,عم بشتغلوا لشعب الاميركي اما نحن يكذبوا ويغشوا ويسرقوا ويقتلو شعوبهم ويعملوا لصالح اعداءهم
TRAIN_2,ابشر طال عمرك,Saudi_Arabia,ابشر طال عمرك
TRAIN_3,منطق 2017: أنا والغريب علي إبن عمي وأنا والغريب وإبن عمي علي أخويا. #قطع_العلاقات_مع_قطر #موريتانيا_مع_قطر,Mauritania,منطق انا والغريب علي ابن عمي وانا والغريب وابن عمي علي اخويا قطع العلاقات مع قطر موريتانيا مع قطر
TRAIN_4,شهرين وتروح والباقي غير صيف ملينا,Algeria,شهرين وتروح والباقي غير صيف ملينا
TRAIN_5,يابنتى والله ما حد متغاظ ولا مفروس منك ولا بيحسدك انتى عره اساسا.,Syria,يابنتي واله ما حد متغاظ ولا مفروس منك ولا بيحسدك انتي عره اساسا
TRAIN_6,نفس الوقت بأكد على صاحبتي ان اي هدف هتحطه وتخططله هيبوظ والأفضل التشاؤم واننا نتوقع الأسوء دايما والفشل عشان منعشمش نفسنا ع الفاضي,Egypt,نفس الوقت باكد علي صاحبتي ان اي هدف هتحطه وتخطله هيبوظ والافضل التشاءم وانا نتوقع الاسوء دايما والفشل عشان منعشمش نفسنا ع الفاضي
TRAIN_7,م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك URL  …,Egypt,م تبطلي خرا بقا علشان مطلعهوش عليكي احترمي نفسك 
TRAIN_8,ما يله دخل !,Oman,ما يله دخل 
TRAIN_9,هو حلو بس يتخربط ع طلاب المدراس ليك مايغيرونه عدنا,Iraq,هو حلو بس يتخربط ع طلاب المدراس ليك مايغيرونه عدنا
TRAIN_10,أي عرفتو، ماعندوش مصداقية بصراحة,Tunisia,اي عرفتو ماعندوش مصداقيه بصراحه
